ticker,company,sector,sub_industry,status
SPY,SPDR S&P 500 ETF Trust,ETF,ETF,etf
MMM,3M,Industrials,Industrial Conglomerates,current
AOS,A. O. Smith,Industrials,Building Products,current
ABT,Abbott Laboratories,Health Care,Health Care Equipment,current
ABBV,AbbVie,Health Care,Biotechnology,current
ACN,Accenture,Information Technology,IT Consulting & Other Services,current
ADBE,Adobe Inc.,Information Technology,Application Software,current
AMD,Advanced Micro Devices,Information Technology,Semiconductors,current
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,current
AFL,Aflac,Financials,Life & Health Insurance,current
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,current
APD,Air Products,Materials,Industrial Gases,current
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",current
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,current
ALB,Albemarle Corporation,Materials,Specialty Chemicals,current
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,current
ALGN,Align Technology,Health Care,Health Care Supplies,current
ALLE,Allegion,Industrials,Building Products,current
LNT,Alliant Energy,Utilities,Electric Utilities,current
ALL,Allstate,Financials,Property & Casualty Insurance,current
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,current
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,current
MO,Altria,Consumer Staples,Tobacco,current
AMZN,Amazon,Consumer Discretionary,Broadline Retail,current
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,current
AEE,Ameren,Utilities,Multi-Utilities,current
AEP,American Electric Power,Utilities,Electric Utilities,current
AXP,American Express,Financials,Consumer Finance,current
AIG,American International Group,Financials,Multi-line Insurance,current
AMT,American Tower,Real Estate,Telecom Tower REITs,current
AWK,American Water Works,Utilities,Water Utilities,current
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,current
AME,Ametek,Industrials,Electrical Components & Equipment,current
AMGN,Amgen,Health Care,Biotechnology,current
APH,Amphenol,Information Technology,Electronic Components,current
ADI,Analog Devices,Information Technology,Semiconductors,current
AON,Aon plc,Financials,Insurance Brokers,current
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,current
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,current
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",current
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,current
APP,AppLovin,Information Technology,Application Software,current
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,current
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,current
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,current
ARES,Ares Management,Financials,Asset Management & Custody Banks,current
ANET,Arista Networks,Information Technology,Communications Equipment,current
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,current
AIZ,Assurant,Financials,Multi-line Insurance,current
T,AT&T,Communication Services,Integrated Telecommunication Services,current
ATO,Atmos Energy,Utilities,Gas Utilities,current
ADSK,Autodesk,Information Technology,Application Software,current
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,current
AZO,AutoZone,Consumer Discretionary,Automotive Retail,current
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,current
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,current
AXON,Axon Enterprise,Industrials,Aerospace & Defense,current
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,current
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",current
BAC,Bank of America,Financials,Diversified Banks,current
BAX,Baxter International,Health Care,Health Care Equipment,current
BDX,Becton Dickinson,Health Care,Health Care Equipment,current
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,current
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,current
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,current
BIIB,Biogen,Health Care,Biotechnology,current
BLK,BlackRock,Financials,Asset Management & Custody Banks,current
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,current
