sector,n_stocks,index_weight_%,cumulative_ret_%,ann_return_%,ann_volatility_%,sharpe_ratio
Consumer Staples,37,7.05,-0.33,-0.17,13.97,-0.01
Utilities,31,5.9,53.62,24.16,15.24,1.59
Real Estate,31,5.9,20.41,9.81,16.53,0.59
Health Care,63,12.0,5.75,2.86,16.62,0.17
Communication Services,24,4.57,60.15,26.79,16.89,1.59
Industrials,81,15.43,41.28,19.03,18.54,1.03
Financials,77,14.67,34.94,16.3,18.65,0.87
Materials,29,5.52,17.57,8.5,20.8,0.41
Consumer Discretionary,56,10.67,29.49,13.91,21.26,0.65
Energy,22,4.19,38.7,17.92,24.6,0.73
Information Technology,74,14.1,70.96,31.03,25.46,1.22
