quarter_label,nport_date,period_start,period_end,sector,portfolio_wt_pct,sector_return_pct
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Communication Services,9.31,13.42
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Consumer Discretionary,9.76,6.61
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Consumer Staples,5.68,3.02
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Energy,3.53,-4.57
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Financials,11.55,1.16
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Health Care,11.39,5.88
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Industrials,7.51,0.35
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Information Technology,31.07,22.85
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Materials,1.58,0.31
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Real Estate,2.15,6.98
Q2 2024,2024-06-30,2024-04-25,2024-06-28,Utilities,2.25,3.1
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Communication Services,8.82,2.72
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Consumer Discretionary,9.91,8.76
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Consumer Staples,5.8,10.54
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Energy,3.21,-1.57
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Financials,11.99,10.83
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Health Care,11.26,7.9
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Industrials,7.85,13.96
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Information Technology,30.44,1.52
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Materials,1.63,12.44
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Real Estate,2.34,19.0
Q3 2024,2024-09-30,2024-07-01,2024-09-30,Utilities,2.53,20.44
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Communication Services,9.34,9.28
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Consumer Discretionary,11.03,18.99
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Consumer Staples,5.45,-2.17
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Energy,3.09,-2.76
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Financials,12.98,9.02
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Health Care,9.81,-8.73
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Industrials,7.52,-0.83
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Information Technology,31.75,9.95
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Materials,1.37,-11.09
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Real Estate,2.1,-6.28
Q4 2024,2024-12-31,2024-10-01,2024-12-31,Utilities,2.33,-5.45
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Communication Services,9.16,-5.21
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Consumer Discretionary,10.08,-10.8
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Consumer Staples,5.96,6.78
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Energy,3.57,9.11
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Financials,13.98,4.75
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Health Care,10.85,7.9
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Industrials,7.87,2.27
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Information Technology,28.92,-11.56
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Materials,1.44,3.41
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Real Estate,2.27,6.09
Q1 2025,2025-03-31,2025-01-02,2025-03-31,Utilities,2.54,6.06
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Communication Services,9.76,18.81
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Consumer Discretionary,10.12,10.83
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Consumer Staples,5.43,1.71
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Energy,2.9,-8.31
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Financials,13.52,8.14
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Health Care,9.03,-3.58
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Industrials,7.91,13.37
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Information Technology,32.41,27.2
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Materials,1.35,5.49
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Real Estate,2.04,0.31
Q2 2025,2025-06-30,2025-04-01,2025-06-30,Utilities,2.39,7.4
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Communication Services,10.12,17.18
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Consumer Discretionary,10.27,12.58
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Consumer Staples,4.85,-2.55
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Energy,2.89,5.68
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Financials,13.06,4.03
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Health Care,8.58,3.56
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Industrials,7.65,6.4
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Information Technology,34.23,17.29
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Materials,1.29,4.48
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Real Estate,1.94,2.97
Q3 2025,2025-09-30,2025-07-01,2025-09-30,Utilities,2.35,7.38
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Communication Services,10.58,11.53
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Consumer Discretionary,10.18,1.22
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Consumer Staples,4.69,0.99
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Energy,2.81,2.02
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Financials,12.92,3.85
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Health Care,9.31,10.11
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Industrials,7.59,3.11
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Information Technology,33.76,1.81
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Materials,1.26,7.98
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Real Estate,1.83,-1.98
Q4 2025,2025-12-31,2025-10-01,2025-12-31,Utilities,2.25,-2.05
